customer_id,customer_name,gender,age,city,state,region,join_date,first_purchase_date,latest_purchase_date,customer_lifetime_orders,customer_lifetime_revenue,customer_lifetime_profit,average_order_value,preferred_product,preferred_category,preferred_brand,preferred_sales_channel,preferred_payment_method,customer_revenue_contribution_percentage,customer_gross_profit_contribution_percentage,is_repeat_customer
44,"Hemant Deep Gowda",Male,41,Jaipur,Rajasthan,North,2024-03-22,2024-04-07,2024-04-07,1,4348.09,404.77,4348.09,"PowerCore 20000 Power Bank",Accessories,Anker,"Offline Store",Cash,0.0001,0.0001,No
46,"Abhishek Singh Mishra",Male,68,Bhopal,"Madhya Pradesh",Central,2026-05-12,2026-07-23,2026-07-23,1,42833.44,1579.00,42833.44,"Edge 60",Smartphones,Anker,Website,UPI,0.0006,0.0004,No
47,"Rohan Veer Khatri",Male,31,Jaipur,Rajasthan,North,2021-03-19,2021-03-23,2021-03-23,1,57999.00,6959.88,57999.00,"Pixel 10 Pro XL",Smartphones,Google,"Mobile App","Net Banking",0.0008,0.0018,No
48,"Ravi Nath Pandey",Male,39,Raipur,Chhattisgarh,Central,2024-05-01,2024-10-05,2024-10-05,1,6194.92,570.67,6194.92,"OTG Oven","Kitchen Appliances","Morphy Richards",Website,UPI,0.0001,0.0001,No
49,"Rupali Tej Mishra",Female,23,Hyderabad,Telangana,South,2021-04-05,2021-08-28,2021-08-28,1,85162.79,1120.39,85162.79,"OLED S95F",Televisions,Samsung,"Offline Store",UPI,0.0012,0.0003,No
50,"Naman Surya Pandey",Male,47,Pune,Maharashtra,West,2025-02-09,2025-03-11,2025-03-11,1,13894.15,1165.61,13894.15,"Galaxy Buds3","Audio Devices",Logitech,Amazon,"Net Banking",0.0002,0.0003,No
51,"Anurag Avi Ali",Male,43,Indore,"Madhya Pradesh",Central,2025-01-04,2025-05-20,2025-05-20,1,12014.53,783.31,12014.53,"AirPods 4","Audio Devices",Apple,"Offline Store",UPI,0.0002,0.0002,No
52,"Shubham Dev Fernandes",Male,28,Gurugram,Haryana,North,2017-05-30,2018-12-15,2021-10-23,4,227924.18,3134.06,56981.05,"Redmi Note 14",Accessories,Apple,"Offline Store",Cash,0.0031,0.0008,Yes
53,"Ritvik Dev Reddy",Male,23,Indore,"Madhya Pradesh",Central,2021-11-03,2021-11-18,2021-11-18,1,47465.90,2946.74,47465.90,"Crystal UHD DU8000",Televisions,Samsung,"Mobile App",UPI,0.0006,0.0007,No
55,"Nikhil Lal Chauhan",Male,28,Indore,"Madhya Pradesh",Central,2017-03-27,2019-11-30,2020-01-26,2,25604.14,2760.35,12802.07,"Watch S4","Smart Watches",Logitech,"Offline Store",UPI,0.0003,0.0007,Yes
56,"Swati Anand Srivastava",Female,22,Bhubaneswar,Odisha,East,2022-05-31,2022-06-19,2022-06-19,1,22286.69,639.57,22286.69,"Narzo 80 Pro",Smartphones,Realme,"Mobile App",Card,0.0003,0.0002,No
57,"Srishti Rai D'Souza",Female,32,Lucknow,"Uttar Pradesh",North,2023-02-28,2023-03-16,2023-03-16,1,7072.46,923.21,7072.46,"Hand Blender","Kitchen Appliances","Morphy Richards","Mobile App","Net Banking",0.0001,0.0002,No
59,"Mahima Prakash Patel",Female,50,Noida,"Uttar Pradesh",North,2025-03-21,2025-06-07,2025-06-07,1,20085.17,3282.71,20085.17,"Accentum Wireless","Audio Devices",Boat,"Offline Store",Cash,0.0003,0.0008,No
60,"Nikita Deep Kamble",Female,34,Indore,"Madhya Pradesh",Central,2023-03-27,2023-04-04,2025-03-12,2,49891.18,7092.78,24945.59,"Front Load Washing Machine","Home Appliances",Godrej,Website,UPI,0.0007,0.0018,Yes
61,"Omkar Kumar Saxena",Male,41,Bengaluru,Karnataka,South,2024-08-27,2025-09-29,2025-09-29,1,49603.55,779.21,49603.55,"Redmi Note 14",Smartphones,Boat,Website,"Net Banking",0.0007,0.0002,No
62,"Mukul Tej Desai",Male,39,Kolkata,"West Bengal",East,2024-07-13,2024-10-18,2024-10-18,1,135554.61,2627.95,135554.61,"Pixel 10 Pro",Smartphones,Google,"Offline Store",Cash,0.0018,0.0007,No
63,"Radhika Vijay Shinde",Female,22,Kochi,Kerala,South,2022-08-15,2022-08-16,2022-08-16,1,41933.32,4032.91,41933.32,"Hand Blender","Kitchen Appliances",ASUS,Website,Card,0.0006,0.0010,No
64,"Aman Rai Arora",Male,21,Jaipur,Rajasthan,North,2023-12-26,2024-01-14,2024-01-14,1,6711.28,621.98,6711.28,"USB-C Power Adapter",Accessories,Apple,Website,Card,0.0001,0.0002,No
66,"Manish Raj Patel",Male,22,Pune,Maharashtra,West,2022-05-09,2022-06-28,2022-06-28,1,73587.29,194.75,73587.29,"Phone (3)",Smartphones,Nothing,"Offline Store","Net Banking",0.0010,0.0000,No
67,"Mansi Hari Kohli",Female,40,Pune,Maharashtra,West,2024-05-26,2024-07-26,2024-07-26,1,47899.00,5747.88,47899.00,"Edge 60",Smartphones,Motorola,Amazon,Card,0.0006,0.0014,No
68,"Ari Jay Mishra",Others,20,"New Delhi",Delhi,North,2024-05-30,2024-12-31,2024-12-31,1,40659.74,4.62,40659.74,V50,Smartphones,Vivo,"Offline Store",UPI,0.0006,0.0000,No
69,"Tanvi Ravi Sethi",Female,21,Pune,Maharashtra,West,2023-10-26,2024-06-30,2024-06-30,1,5620.73,453.49,5620.73,"Airdopes 311 Pro","Audio Devices",Boat,"Offline Store",Card,0.0001,0.0001,No
70,"Shubham Chandra Jain",Male,20,Kochi,Kerala,South,2024-10-23,2024-12-14,2024-12-14,1,7502.63,1053.38,7502.63,"Automatic Bread Maker","Kitchen Appliances",Panasonic,"Offline Store",UPI,0.0001,0.0003,No
71,"Jatin Ranjan Shinde",Male,42,Kolkata,"West Bengal",East,2024-11-16,2024-11-19,2026-01-04,2,190916.56,14830.84,95458.28,"ThinkPad X1 Carbon",Laptops,Apple,"Offline Store",UPI,0.0026,0.0037,Yes
72,"Ananya Jit Kulkarni",Female,44,Surat,Gujarat,West,2025-09-16,2025-10-31,2025-10-31,1,29808.39,3685.23,29808.39,"G Pro X Superlight 2",Gaming,"Logitech G","Mobile App",UPI,0.0004,0.0009,No
73,"Tarun Singh Lamba",Male,31,Chennai,"Tamil Nadu",South,2021-03-13,2021-04-07,2021-04-07,1,12992.83,814.23,12992.83,"USB-C Power Adapter",Accessories,Apple,"Mobile App",UPI,0.0002,0.0002,No
74,"Mitali Veer Khan",Female,30,"New Delhi",Delhi,North,2019-06-29,2019-10-28,2019-10-28,1,361996.00,54919.36,361996.00,"Katana 15",Laptops,LG,"Offline Store",UPI,0.0049,0.0138,No
77,"Vikram Nath Mukherjee",Male,29,Jaipur,Rajasthan,North,2018-06-23,2019-05-22,2019-05-22,1,54874.70,3635.54,54874.70,"Crystal UHD DU8000",Televisions,Samsung,"Offline Store",Cash,0.0007,0.0009,No
78,"Rudra Prakash Chopra",Male,28,Noida,"Uttar Pradesh",North,2016-08-30,2016-11-27,2025-07-09,3,326000.55,16212.83,108666.85,"USB-C Hub",Accessories,Anker,"Offline Store",Card,0.0044,0.0041,Yes
80,"Vedant Lal Khatri",Male,30,Coimbatore,"Tamil Nadu",South,2020-05-18,2020-08-16,2022-10-06,2,12927.92,887.45,6463.96,WF-1000XM6,"Audio Devices",Prestige,"Offline Store",Cash,0.0002,0.0002,Yes
81,"Bhavna Lal Brar",Female,29,Bhopal,"Madhya Pradesh",Central,2018-03-31,2018-11-24,2018-11-24,1,2263.65,164.35,2263.65,"MagSafe Charger",Accessories,Apple,"Offline Store",UPI,0.0000,0.0000,No
82,"Rishabh Anand Vyas",Male,27,Kolkata,"West Bengal",East,2017-11-28,2019-03-31,2020-05-26,3,206843.94,8076.62,68947.98,"Galaxy A36","Audio Devices",Boat,"Offline Store",Card,0.0028,0.0020,Yes
83,"Ankit Ranjan Mittal",Male,41,Vadodara,Gujarat,West,2024-02-18,2024-09-14,2024-11-27,2,30966.77,2883.08,15483.39,"AirPods 4","Audio Devices",Apple,"Offline Store",UPI,0.0004,0.0007,Yes
84,"Omkar Sai Naidu",Male,21,Chennai,"Tamil Nadu",South,2023-11-19,2023-12-20,2023-12-20,1,40593.61,4.51,40593.61,"Galaxy A36",Smartphones,Samsung,Amazon,Card,0.0006,0.0000,No
85,"Preeti Anand Rao",Female,42,Mumbai,Maharashtra,West,2024-04-12,2024-05-27,2025-05-14,2,184484.54,18453.18,92242.27,"OnePlus 13R",Accessories,Dell,"Offline Store",UPI,0.0025,0.0046,Yes
86,"Pooja Neel Pawar",Female,21,Guwahati,Assam,East,2023-10-18,2024-09-25,2025-01-12,2,87009.81,4115.57,43504.91,"Pixel 10 Pro",Smartphones,Apple,Website,UPI,0.0012,0.0010,Yes
87,"Rishabh Mohan Ghosh",Male,22,Ahmedabad,Gujarat,West,2022-12-18,2023-01-27,2023-03-13,2,125326.31,7684.05,62663.16,"Nord 5",Smartphones,Acer,"Offline Store",UPI,0.0017,0.0019,Yes
88,"Mansi Jit Sawant",Female,22,Visakhapatnam,"Andhra Pradesh",South,2022-11-14,2022-12-13,2023-01-15,2,150799.95,7682.51,75399.97,"Xiaomi 15 Ultra",Smartphones,Haier,"Offline Store",Cash,0.0020,0.0019,Yes
90,"Nitin Ranjan Siddiqui",Male,32,Ahmedabad,Gujarat,West,2023-11-11,2024-03-10,2024-03-10,1,42925.92,5778.22,42925.92,"Top Load Washing Machine","Home Appliances",Prestige,"Offline Store",Cash,0.0006,0.0015,No
91,"Suraj Chandra Patel",Male,23,Jaipur,Rajasthan,North,2021-09-03,2021-10-26,2021-10-26,1,60177.89,2098.77,60177.89,"Pixel 10 Pro XL",Smartphones,Google,"Mobile App","Net Banking",0.0008,0.0005,No
93,"Uday Chandra Naidu",Male,20,Bhubaneswar,Odisha,East,2024-05-29,2024-07-08,2024-07-08,1,3824.76,357.44,3824.76,"MX Master 3S",Accessories,Logitech,"Offline Store",UPI,0.0001,0.0001,No
95,"Rishabh Deep Shah",Male,22,Ghaziabad,"Uttar Pradesh",North,2022-10-26,2023-06-18,2023-06-18,1,4247.19,303.87,4247.19,"PowerCore 20000 Power Bank",Accessories,Anker,Amazon,"Net Banking",0.0001,0.0001,No
96,"Aditya Hari Kapoor",Male,28,Indore,"Madhya Pradesh",Central,2016-10-02,2017-01-27,2019-12-24,3,79677.85,6754.15,26559.28,"OLED S95F",Televisions,Anker,"Offline Store",Cash,0.0011,0.0017,Yes
97,"Meera Surya Bhatia",Female,22,Chennai,"Tamil Nadu",South,2022-06-13,2022-06-16,2022-11-19,3,403741.96,19904.42,134580.65,"Rockerz 551 ANC","Audio Devices",Boat,"Offline Store",UPI,0.0055,0.0050,Yes
98,"Varun Tej Ansari",Male,31,Bhopal,"Madhya Pradesh",Central,2022-08-26,2022-10-10,2022-11-24,2,123378.88,1346.60,61689.44,"Cyborg 15",Laptops,Microsoft,"Mobile App",UPI,0.0017,0.0003,Yes
99,"Yash Shan Kaur",Male,30,Kolkata,"West Bengal",East,2020-12-06,2021-09-10,2021-09-12,2,153248.54,7093.37,76624.27,"iPhone 16 Pro",Accessories,Apple,"Offline Store",Cash,0.0021,0.0018,Yes
100,"Nikhil Veer Singh",Male,41,Lucknow,"Uttar Pradesh",North,2024-11-20,2025-10-02,2025-10-02,1,44604.11,604.99,44604.11,"Reno 14 Pro",Smartphones,Oppo,"Mobile App",UPI,0.0006,0.0002,No
101,"Ritvik Jay Reddy",Male,21,Hyderabad,Telangana,South,2023-08-08,2023-10-22,2023-10-22,1,163000.98,7082.72,163000.98,"Reno 14 Pro",Smartphones,LG,"Offline Store",UPI,0.0022,0.0018,No
102,"Varun Ravi Yadav",Male,22,Visakhapatnam,"Andhra Pradesh",South,2022-08-23,2022-10-03,2022-10-03,1,6030.60,635.36,6030.60,"Buds Wireless 5 ANC","Audio Devices",Realme,"Offline Store",Card,0.0001,0.0002,No
103,"Leena Veer Bose",Female,21,Surat,Gujarat,West,2023-10-21,2023-12-04,2025-12-25,2,23964.08,4717.61,11982.04,"T-Rex 3","Smart Watches",Amazfit,"Mobile App",UPI,0.0003,0.0012,Yes
104,"Kunal Ranjan Saha",Male,51,Jodhpur,Rajasthan,North,2025-05-07,2025-06-05,2025-07-16,2,120391.44,6493.00,60195.72,"Victus 15",Laptops,Apple,"Offline Store",Cash,0.0016,0.0016,Yes
105,"Sakshi Rey Kapoor",Female,22,Bengaluru,Karnataka,South,2022-09-25,2022-10-07,2022-10-07,1,22922.22,1196.46,22922.22,WF-1000XM6,"Audio Devices",Anker,Amazon,"Net Banking",0.0003,0.0003,No
106,"Shruti Sai Chatterjee",Female,31,Guwahati,Assam,East,2022-05-18,2022-09-04,2023-06-29,2,112415.82,4152.43,56207.91,"Pavilion Plus",Laptops,HP,"Offline Store",Card,0.0015,0.0010,Yes
107,"Lakshay Om Tomar",Male,22,Gurugram,Haryana,North,2022-10-08,2022-10-08,2022-10-08,1,48471.13,626.79,48471.13,"Redmi Note 14 Pro",Smartphones,Sony,"Offline Store",UPI,0.0007,0.0002,No
108,"Tanmay Rai Singh",Male,33,Mumbai,Maharashtra,West,2023-07-03,2023-08-17,2023-08-17,1,131098.79,3332.53,131098.79,"OnePlus 13R",Smartphones,MSI,"Offline Store",Card,0.0018,0.0008,No
109,"Aarav Prem Khatri",Male,32,Ahmedabad,Gujarat,West,2023-10-05,2023-11-09,2023-11-09,1,85097.21,10018.50,85097.21,"45W Fast Charger",Accessories,Samsung,"Offline Store",Card,0.0012,0.0025,No
110,"Geeta Veer Varghese",Female,32,Jaipur,Rajasthan,North,2023-06-21,2023-09-17,2024-03-25,2,70154.33,5620.01,35077.17,"Redmi Pad 2",Tablets,Xiaomi,"Offline Store",Card,0.0010,0.0014,Yes
112,"Avni Kishore Tripathi",Female,43,"New Delhi",Delhi,North,2025-10-26,2026-04-05,2026-04-05,1,142603.33,7794.81,142603.33,"Redmi Note 14 Pro+",Smartphones,Samsung,Website,"Net Banking",0.0019,0.0020,No
113,"Kunal Kumar Saha",Male,41,Ludhiana,Punjab,North,2024-08-09,2025-04-15,2025-04-15,1,33754.44,1811.32,33754.44,"Pixel 9a",Smartphones,Google,"Offline Store",UPI,0.0005,0.0005,No
114,"Nikhil Sai Patil",Male,20,Nagpur,Maharashtra,West,2024-08-27,2024-10-20,2024-10-20,1,32287.79,2532.65,32287.79,"Legion Tab",Tablets,Lenovo,"Mobile App","Net Banking",0.0004,0.0006,No
115,"Suraj Pal Mathew",Male,21,Coimbatore,"Tamil Nadu",South,2023-11-10,2024-03-14,2024-03-14,1,93906.41,2848.19,93906.41,"Galaxy Z Flip 7",Smartphones,Nothing,"Offline Store",Cash,0.0013,0.0007,No
116,"Aarav Avi Mathew",Male,54,Hyderabad,Telangana,South,2025-09-06,2026-06-06,2026-06-06,1,27068.68,3131.18,27068.68,"Top Load Washing Machine","Home Appliances",Samsung,"Mobile App",Card,0.0004,0.0008,No
117,"Ritesh Neel Patel",Male,32,Kochi,Kerala,South,2023-05-16,2023-06-16,2023-06-16,1,43661.92,630.80,43661.92,"Moto G96",Smartphones,Motorola,"Mobile App",UPI,0.0006,0.0002,No
118,"Srishti Om Ansari",Female,38,Noida,"Uttar Pradesh",North,2024-09-21,2024-12-26,2025-07-19,2,274452.58,18824.66,137226.29,"Find X8 Ultra","Audio Devices",Apple,Website,UPI,0.0037,0.0047,Yes
119,"Rohan Chandra Gill",Male,21,Kolkata,"West Bengal",East,2023-10-28,2024-06-23,2024-06-23,1,206535.92,7017.64,206535.92,"ThinkPad E16",Laptops,HP,"Mobile App",UPI,0.0028,0.0018,No
120,"Rakesh Tej Kaur",Male,41,Bengaluru,Karnataka,South,2024-11-07,2025-08-26,2025-08-26,1,36730.36,940.42,36730.36,"Galaxy M36",Accessories,Samsung,"Offline Store",UPI,0.0005,0.0002,No
121,"Rakesh Pal Arora",Male,33,Lucknow,"Uttar Pradesh",North,2023-12-17,2024-01-03,2024-01-03,1,23912.50,1569.34,23912.50,"Legion Go",Gaming,Lenovo,"Offline Store",Cash,0.0003,0.0004,No
122,"Rajat Ravi Yadav",Male,22,Mumbai,Maharashtra,West,2022-12-30,2023-04-08,2023-04-08,1,68435.34,1362.73,68435.34,"Pixel 10",Smartphones,Bajaj,"Offline Store",UPI,0.0009,0.0003,No
123,"Riya Hari Sethi",Female,31,Chandigarh,Punjab,North,2022-10-17,2022-11-03,2022-11-03,1,23207.07,1363.93,23207.07,"OnePlus Pad Lite",Tablets,OnePlus,"Mobile App","Net Banking",0.0003,0.0003,No
124,"Deepak Sai Anand",Male,41,"New Delhi",Delhi,North,2024-06-25,2024-06-29,2024-11-24,2,166605.17,14972.75,83302.59,"G Pro X Superlight 2",Accessories,Apple,"Offline Store",Card,0.0023,0.0038,Yes
126,"Tushar Rey Mane",Male,23,Mumbai,Maharashtra,West,2021-09-28,2022-01-04,2022-01-04,1,40263.73,2146.03,40263.73,"Premium Split AC","Home Appliances",Daikin,"Mobile App",UPI,0.0005,0.0005,No
127,"Sachin Dev Fernandes",Male,20,Bengaluru,Karnataka,South,2024-10-29,2025-03-14,2025-03-14,1,6880.04,790.74,6880.04,"USB-C Power Adapter",Accessories,Apple,"Offline Store",UPI,0.0001,0.0002,No
128,"Shruti Veer Sandhu",Female,54,Bengaluru,Karnataka,South,2025-01-17,2025-05-01,2025-05-01,1,79713.05,4343.49,79713.05,"Find X8 Pro",Smartphones,Google,Website,Card,0.0011,0.0011,No
129,"Himani Singh Dubey",Female,21,Noida,"Uttar Pradesh",North,2023-09-25,2023-10-04,2023-10-04,1,37900.68,3101.48,37900.68,"V15 Detect Vacuum Cleaner","Home Appliances",Dyson,"Mobile App",UPI,0.0005,0.0008,No
130,"Ishita Ranjan Reddy",Female,22,"New Delhi",Delhi,North,2022-05-26,2022-06-07,2022-06-07,1,4578.89,635.57,4578.89,"PowerCore 20000 Power Bank",Accessories,Anker,"Mobile App",Card,0.0001,0.0002,No
131,"Navya Pal Patel",Female,23,Faridabad,Haryana,North,2021-11-29,2022-03-22,2022-03-22,1,85228.89,629.79,85228.89,"iPhone 17 Pro Max",Smartphones,Apple,Website,"Net Banking",0.0012,0.0002,No
132,"Vivek Neel Goel",Male,34,Mumbai,Maharashtra,West,2023-10-25,2024-07-19,2026-07-12,2,289239.87,7476.99,144619.94,"Edge 60",Smartphones,Motorola,"Mobile App","Net Banking",0.0039,0.0019,Yes
